CUDA total time
===============
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::empty_like         0.24%     381.284us         0.83%       1.288ms       6.536us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       6.83 Gb           0 b           197            --  
                                   mixed/qkv_projection         1.16%       1.804ms         4.01%       6.253ms     223.328us       0.000us         0.00%       4.681ms     167.161us           0 b           0 b       1.33 Gb    -432.21 Mb            28            --  
                                           aten::linear         0.46%     709.620us         6.13%       9.560ms      48.281us       0.000us         0.00%      58.382ms     294.858us           0 b           0 b      19.70 Gb           0 b           198            --  
                                                aten::t         0.22%     344.284us         0.50%     779.022us       3.934us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           198            --  
                                        aten::transpose         0.57%     888.367us         0.70%       1.098ms       2.602us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           422            --  
                                  cudaFuncGetAttributes         0.31%     480.604us         0.31%     480.604us       2.427us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           198            --  
                                        cudaMemsetAsync         0.34%     533.708us         0.34%     533.708us       3.706us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           144            --  
                                   cudaFuncSetAttribute         0.12%     191.402us         0.12%     191.402us       0.322us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           594            --  
                                    cudaLaunchKernelExC         0.58%     905.069us         0.58%     905.069us       4.571us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           198            --  
                                             mixed/rope         2.09%       3.260ms         2.49%       3.881ms     138.610us       0.000us         0.00%     443.745us      15.848us           0 b           0 b           0 b      -1.53 Gb            28            --  
                                   mixed/kv_cache_write         0.81%       1.258ms         2.89%       4.498ms     160.630us       0.000us         0.00%     826.688us      29.525us           0 b           0 b           0 b           0 b            28            --  
                                           aten::select         0.18%     281.520us         0.21%     325.806us       3.879us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            84            --  
                                 mixed/decode_attention         1.76%       2.736ms         2.30%       3.589ms     128.196us       0.000us         0.00%      28.512us       1.018us           0 b           0 b      24.00 Kb    -648.00 Kb            28            --  
                                mixed/prefill_attention         1.59%       2.476ms         1.81%       2.817ms     100.590us       0.000us         0.00%      14.336us       0.512us           0 b           0 b      48.00 Mb      -1.27 Gb            28            --  
                                mixed/output_projection         0.88%       1.369ms         3.33%       5.186ms     185.222us       0.000us         0.00%      10.806ms     385.918us           0 b           0 b       1.36 Gb      -3.89 Gb            28            --  
                                            aten::clone         0.07%     107.960us         0.41%     637.345us      22.762us       0.000us         0.00%       1.915ms      68.397us           0 b           0 b       1.31 Gb           0 b            28            --  
                                     aten::_unsafe_view         0.03%      43.183us         0.03%      43.183us       1.542us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            28            --  
                                           aten::matmul         0.28%     428.894us         3.07%       4.787ms      41.990us       0.000us         0.00%      53.701ms     471.064us           0 b           0 b      17.95 Gb           0 b           114            --  
                           mixed/post_attention_rmsnorm         1.42%       2.220ms         1.69%       2.638ms      94.230us       0.000us         0.00%     666.783us      23.814us           0 b           0 b           0 b      -1.31 Gb            28            --  
                                              mixed/mlp         1.00%       1.566ms         3.98%       6.196ms     221.272us       0.000us         0.00%      65.329ms       2.333ms           0 b           0 b       1.31 Gb     -31.95 Gb            28            --  
                           mixed/final_norm_and_lm_head         0.08%     120.478us         0.18%     281.413us     281.413us       0.000us         0.00%     342.080us     342.080us           0 b           0 b       3.30 Mb     -48.03 Mb             1            --  
                                    decode/sample_batch         0.11%     169.496us        67.71%     105.513ms     105.513ms       0.000us         0.00%      13.632us      13.632us           0 b         -64 b           0 b        -512 b             1            --  
                                     aten::resolve_conj         0.00%       1.244us         0.00%       1.244us       0.622us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                      aten::resolve_neg         0.00%       0.629us         0.00%       0.629us       0.314us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                   prefill/sample_batch         0.07%     104.069us         0.19%     299.219us     299.219us       0.000us         0.00%      15.680us      15.680us           0 b         -32 b           0 b    -594.50 Kb             1            --  
                                  cudaDeviceSynchronize         0.00%       7.248us         0.00%       7.248us       7.248us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 155.834ms
Self CUDA time total: 145.778ms


CPU self-time
=============
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        cudaMemcpyAsync        67.61%     105.360ms        67.61%     105.360ms       8.780ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                            mixed/cache_and_input_setup         2.73%       4.255ms         4.29%       6.679ms       6.679ms       0.000us         0.00%     189.985us     189.985us           0 b    -324.50 Kb      48.34 Mb           0 b             1            --  
                                            mixed/layer         2.26%       3.524ms        26.64%      41.519ms       1.483ms       0.000us         0.00%      82.795ms       2.957ms           0 b           0 b     256.12 Mb      -3.85 Gb            28            --  
                                             mixed/rope         2.09%       3.260ms         2.49%       3.881ms     138.610us       0.000us         0.00%     443.745us      15.848us           0 b           0 b           0 b      -1.53 Gb            28            --  
                                               aten::mm         1.94%       3.030ms         2.80%       4.358ms      38.227us      53.701ms        36.84%      53.701ms     471.064us           0 b           0 b      17.95 Gb      17.95 Gb           114     40070.496  
                                       cudaLaunchKernel         1.82%       2.840ms         1.82%       2.840ms      12.403us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           229            --  
                                 mixed/decode_attention         1.76%       2.736ms         2.30%       3.589ms     128.196us       0.000us         0.00%      28.512us       1.018us           0 b           0 b      24.00 Kb    -648.00 Kb            28            --  
                                mixed/prefill_attention         1.59%       2.476ms         1.81%       2.817ms     100.590us       0.000us         0.00%      14.336us       0.512us           0 b           0 b      48.00 Mb      -1.27 Gb            28            --  
                           mixed/post_attention_rmsnorm         1.42%       2.220ms         1.69%       2.638ms      94.230us       0.000us         0.00%     666.783us      23.814us           0 b           0 b           0 b      -1.31 Gb            28            --  
                                            aten::addmm         1.41%       2.202ms         2.11%       3.284ms      39.096us       4.681ms         3.21%       4.681ms      55.720us           0 b           0 b       1.75 Gb       1.67 Gb            84      2887.627  
                                    mixed/input_rmsnorm         1.40%       2.183ms         1.70%       2.650ms      94.642us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      48.02 Mb      -1.27 Gb            28            --  
                                               aten::to         1.27%       1.982ms        69.06%     107.622ms       8.969ms       0.000us         0.00%      24.129us       2.011us          80 b           0 b     328.50 Kb           0 b            12            --  
                                   mixed/qkv_projection         1.16%       1.804ms         4.01%       6.253ms     223.328us       0.000us         0.00%       4.681ms     167.161us           0 b           0 b       1.33 Gb    -432.21 Mb            28            --  
                                              mixed/mlp         1.00%       1.566ms         3.98%       6.196ms     221.272us       0.000us         0.00%      65.329ms       2.333ms           0 b           0 b       1.31 Gb     -31.95 Gb            28            --  
                               mixed/profiled_iteration         0.98%       1.534ms       100.00%     155.827ms     155.827ms       0.000us         0.00%      83.356ms      83.356ms           0 b           0 b           0 b    -307.77 Mb             1            --  
                                mixed/output_projection         0.88%       1.369ms         3.33%       5.186ms     185.222us       0.000us         0.00%      10.806ms     385.918us           0 b           0 b       1.36 Gb      -3.89 Gb            28            --  
                                   mixed/kv_cache_write         0.81%       1.258ms         2.89%       4.498ms     160.630us       0.000us         0.00%     826.688us      29.525us           0 b           0 b           0 b           0 b            28            --  
                                    cudaLaunchKernelExC         0.58%     905.069us         0.58%     905.069us       4.571us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           198            --  
                                        aten::transpose         0.57%     888.367us         0.70%       1.098ms       2.602us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           422            --  
                                    aten::empty_strided         0.56%     875.755us         0.56%     875.755us       4.838us       0.000us         0.00%       0.000us       0.000us          80 b          80 b       5.52 Gb       5.52 Gb           181            --  
                                         cuLaunchKernel         0.51%     790.028us         0.51%     790.028us       4.675us       1.153ms         0.79%       1.153ms       6.825us           0 b           0 b           0 b           0 b           169            --  
                                           aten::linear         0.46%     709.620us         6.13%       9.560ms      48.281us       0.000us         0.00%      58.382ms     294.858us           0 b           0 b      19.70 Gb           0 b           198            --  
                                      aten::index_copy_         0.43%     677.132us         1.78%       2.775ms      49.560us     826.688us         0.57%     826.688us      14.762us           0 b           0 b           0 b           0 b            56            --  
                                        cudaMemsetAsync         0.34%     533.708us         0.34%     533.708us       3.706us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           144            --  
                                  cudaFuncGetAttributes         0.31%     480.604us         0.31%     480.604us       2.427us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           198            --  
                                            aten::empty         0.30%     464.006us         0.30%     464.006us       3.712us       0.000us         0.00%       0.000us       0.000us     324.52 Kb     324.52 Kb       1.40 Gb       1.40 Gb           125            --  
                                            aten::slice         0.30%     460.511us         0.35%     544.117us       2.748us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           198            --  
                                              aten::add         0.29%     451.269us         0.42%     652.970us      11.660us       2.685ms         1.84%       2.685ms      47.938us           0 b           0 b       2.63 Gb       2.63 Gb            56         1.410  
                                       aten::as_strided         0.28%     441.356us         0.28%     441.356us       0.474us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           931            --  
                                           aten::matmul         0.28%     428.894us         3.07%       4.787ms      41.990us       0.000us         0.00%      53.701ms     471.064us           0 b           0 b      17.95 Gb           0 b           114            --  
                                              aten::cat         0.27%     418.958us         0.37%     572.908us      20.461us       4.436ms         3.04%       4.436ms     158.417us           0 b           0 b       1.31 Gb       1.31 Gb            28            --  
                                       aten::empty_like         0.24%     381.284us         0.83%       1.288ms       6.536us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       6.83 Gb           0 b           197            --  
                                                aten::t         0.22%     344.284us         0.50%     779.022us       3.934us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           198            --  
                                            aten::copy_         0.20%     315.086us        67.94%     105.868ms       2.647ms       1.939ms         1.33%       1.939ms      48.481us           0 b           0 b           0 b           0 b            40            --  
                                             aten::view         0.19%     295.390us         0.19%     295.390us       1.163us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           254            --  
                                           aten::select         0.18%     281.520us         0.21%     325.806us       3.879us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            84            --  
                                             aten::silu         0.17%     263.686us         0.25%     397.233us      14.187us       5.893ms         4.04%       5.893ms     210.463us           0 b           0 b       7.66 Gb       7.66 Gb            28            --  
                                        aten::unsqueeze         0.16%     255.173us         0.20%     311.871us       2.760us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           113            --  
                                          aten::reshape         0.15%     238.473us         0.65%       1.016ms      11.958us       0.000us         0.00%       1.915ms      22.531us           0 b           0 b       1.31 Gb           0 b            85            --  
                                              aten::mul         0.15%     234.262us         0.22%     337.392us      12.050us       7.844ms         5.38%       7.844ms     280.137us           0 b           0 b       7.66 Gb       7.66 Gb            28         4.112  
                                   cudaFuncSetAttribute         0.12%     191.402us         0.12%     191.402us       0.322us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           594            --  
                                    decode/sample_batch         0.11%     169.496us        67.71%     105.513ms     105.513ms       0.000us         0.00%      13.632us      13.632us           0 b         -64 b           0 b        -512 b             1            --  
                           mixed/final_norm_and_lm_head         0.08%     120.478us         0.18%     281.413us     281.413us       0.000us         0.00%     342.080us     342.080us           0 b           0 b       3.30 Mb     -48.03 Mb             1            --  
                                            aten::clone         0.07%     107.960us         0.41%     637.345us      22.762us       0.000us         0.00%       1.915ms      68.397us           0 b           0 b       1.31 Gb           0 b            28            --  
                                   prefill/sample_batch         0.07%     104.069us         0.19%     299.219us     299.219us       0.000us         0.00%      15.680us      15.680us           0 b         -32 b           0 b    -594.50 Kb             1            --  
                                     aten::index_select         0.06%      93.136us         0.12%     182.731us      60.910us     178.560us         0.12%     178.560us      59.520us           0 b           0 b      48.61 Mb           0 b             3            --  
                                  cudaStreamSynchronize         0.05%      71.125us         0.05%      71.125us       5.927us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                         aten::_to_copy         0.04%      64.810us        67.79%     105.640ms       8.803ms       0.000us         0.00%      24.129us       2.011us          80 b           0 b     328.50 Kb           0 b            12            --  
                                           aten::argmax         0.04%      62.588us         0.06%      95.044us      47.522us      19.616us         0.01%      19.616us       9.808us           0 b           0 b       1.00 Kb       1.00 Kb             2            --  
                                     aten::_unsafe_view         0.03%      43.183us         0.03%      43.183us       1.542us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            28            --  
                                          aten::resize_         0.01%      21.330us         0.01%      21.330us       7.110us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      48.61 Mb      48.61 Mb             3            --  
                                          aten::detach_         0.01%      15.088us         0.02%      25.970us       2.597us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10            --  
                                        aten::embedding         0.01%      13.601us         0.06%      87.671us      87.671us       0.000us         0.00%     171.680us     171.680us           0 b           0 b      48.02 Mb           0 b             1            --  
                                                detach_         0.01%      10.882us         0.01%      10.882us       1.088us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10            --  
                                  cudaDeviceSynchronize         0.00%       7.248us         0.00%       7.248us       7.248us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                       aten::lift_fresh         0.00%       2.589us         0.00%       2.589us       0.259us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10            --  
                                     aten::resolve_conj         0.00%       1.244us         0.00%       1.244us       0.622us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                      aten::resolve_neg         0.00%       0.629us         0.00%       0.629us       0.314us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                            mixed/cache_and_input_setup         0.00%       0.000us         0.00%       0.000us       0.000us       3.289ms         2.26%       3.289ms       3.289ms           0 b           0 b           0 b           0 b             1            --  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      19.169us         0.01%      19.169us       1.917us           0 b           0 b           0 b           0 b            10            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 155.834ms
Self CUDA time total: 145.778ms

